COURSE_CODE,COURSE_TITLE,QUIZ GLOBAL TITLE ,GLOBAL QUIZ_CODE,GLOBAL QUIZ QUESTION_CODE,Quiz,option 1,answer,option2,answer,option 4,answer,option5,answer,option6,answer,option7,answer,,,,,,,,,,
même code par ligne de cours,Titre cours répétitif,,même code par ligne de cours,,question,choix de réponse,true/false,choix de réponse,true/false,choix de réponse,true/false,,true/false,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q1,التواصل المهني يساهم في بناء علاقات قائمة على الاحترام المتبادل داخل بيئة العمل,صحيح,true ,خطأ,false ,,,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q2,"""ما هو العنصر الأساسي في التواصل المهني الفعال؟
أ) تجاهل مشاعر الآخرين
ب) تبادل الأفكار والمشاعر باحترام
ج) إصدار الأوامر فقط""						",أ) تجاهل مشاعر الآخرين,false ,ب) تبادل الأفكار والمشاعر باحترام,true ,"ج) إصدار الأوامر فقط""",false ,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q3,"من بين نتائج التواصل المهني الفعال؟
أ) إضعاف الثقة بين الزملاء
ب) تعزيز الفهم المتبادل
ج) تفاقم سوء الفهم",أ) إضعاف الثقة بين الزملاء,false ,ب) تعزيز الفهم المتبادل,true ,ج) تفاقم سوء الفهم,false ,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q4,"من نتائج التواصل المهني داخل المؤسسة:
أ) الحد من التفاعل بين الأفراد
ب) زيادة الصراعات
ج) تبادل المعلومات والتعامل مع المشكلات",أ)  الحد من التفاعل بين الأفراد,false ,ب) زيادة الصراعات,false ,ج)تبادل المعلومات والتعامل مع المشكلات,true ,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q5,التواصل المهني يقتصر فقط على احترام المساطر الإدارية دون الحاجة إلى مهارات تواصل شخصية,خطأ,false ,صحيح,true ,,,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q6,,,,,,,,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q7,لا علاقة للتواصل المهني بحل المشكلات التي قد تواجه الفريق,خطأ,false ,صحيح,true ,,,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q8,يعتبر المستقبل مصدر الرسالة ويكون متحدثا بطريقة مباشرة أو  غير مباشرة عن طريق البريد أو الهاتف,خطأ,false ,صحيح,true ,,,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,التواصل المهني  الاختبار النهائي,FMPS_C001_QG1,FMPS_C001_QG1_Q9,من اجل إنجاح عميلة التواصل من الضروري أن يكون المرسِل مدركا لمحتوى الرسالة  من أفكار ومعاني,صحيح,true ,خطأ,false ,,,,,,,,,,,,,,,,,,
